2021-10-02 22:01:44.143 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: 03 VISUAL APPROACH 18 RIGHT, cabin: true
2021-10-02 22:01:51.324 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: AMERICAN 470 TURN RIGHT HEADING 090 DESCEND AND MAINTAIN 3000, cabin: true
2021-10-02 22:01:52.885 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: 09013, cabin: true
2021-10-02 22:02:02.232 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: AMERICAN 377 MAINTAIN 170 KNOTS TO LINDY CONTACT THE TOWER NOW 124.15, cabin: true
2021-10-02 22:02:04.833 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: 170, cabin: true
2021-10-02 22:02:33.535 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: AMERICAN 14 03 DESCEND AND MAINTAIN 4000, cabin: true
2021-10-02 22:02:35.479 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: DESCEND AND MAINTAIN 4000 AMERICAN 14, cabin: true
2021-10-02 22:02:48.937 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: ENVOY 3746 FARGO APPROACH 18 RIGHT, cabin: true
2021-10-02 22:03:03.343 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: AMERICAN 478 TURN LEFT HEADING 150 MAINTAIN 3000 UNTIL ESTABLISHED ON THE LOCAL ON THE FINAL APPROACH COURSE CLEARED RNAV RUNWAY 18R APPROACH, cabin: true
2021-10-02 22:03:03.954 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: BIZEX 641, cabin: true
2021-10-02 22:03:19.017 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: 14 038 DESCEND DOWN MAINTAIN 4000 AND REDUCE SPEED TO 1 9 0, cabin: true
2021-10-02 22:03:21.290 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: EXPEDITE DOWN TO 4 AND SLOW TO AH 1, cabin: true
2021-10-02 22:03:30.818 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: 120 AMERICAN 478, cabin: false
2021-10-02 22:03:38.165 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: 447 MAINTAIN 180 KNOTS TURN HEADING 09, cabin: true
2021-10-02 22:04:15.233 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: AMERICAN 14 03 TURN LEFT HEADING 090 DESCEND AND MAINTAIN 3000, cabin: true
2021-10-02 22:04:17.111 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: RIGHT 090 DOWN TO 3000 AMERICAN 4, cabin: true
2021-10-02 22:04:24.534 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: AMERICAN 470 CONTACT HOUSTON TOWER 124.15, cabin: true
2021-10-02 22:04:24.745 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: 15, cabin: false
2021-10-02 22:04:30.162 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: ENVOY 3746 DESCEND AND MAINTAIN 4000, cabin: true
2021-10-02 22:04:31.274 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: 4004, cabin: false
2021-10-02 22:04:40.331 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: 3014 03 AT 3000 REDUCE SPEED TO 1 7 0, cabin: false
2021-10-02 22:04:44.306 -07:00 | Debug   | 0094FC64 | TranscriptionService.swift:302 - Transcription: AT 3001 FM403, cabin: true
